timestamp,symbol,buy_ex,buy,sell_ex,sell,edge_pct
2025-09-10T16:46:24.094893+00:00,XRP/USD,bitfinex,2.9964,kraken,2.99871,0.077092511013217
2025-09-10T16:48:24.027508+00:00,BTC/USD,bitfinex,113680.0,bitstamp,113716.0,0.03166783954961295
2025-09-10T16:48:24.027508+00:00,XRP/USD,kraken,3.00031,bitstamp,3.00335,0.10132286330413777
2025-09-10T16:50:27.496860+00:00,BTC/USD,bitfinex,113650.0,coinbase,113686.88,0.03245050593929138
2025-09-10T16:50:27.496860+00:00,XRP/USD,bitfinex,3.002,kraken,3.00426,0.0752831445702915
2025-09-10T16:52:25.656235+00:00,BTC/USD,bitfinex,113670.0,coinbase,113729.16,0.05204539456321237
2025-09-10T16:52:25.656235+00:00,XRP/USD,bitfinex,3.002,kraken,3.00324,0.041305796135913724
2025-09-10T16:54:28.089117+00:00,BTC/USD,bitfinex,113670.0,bitstamp,113691.0,0.018474531538664556
2025-09-10T16:54:28.089117+00:00,XRP/USD,bitfinex,3.0022,kraken,3.00343,0.04096995536605223
2025-09-10T16:56:27.478507+00:00,BTC/USD,bitfinex,113670.0,bitstamp,113732.0,0.0545438550189144
2025-09-10T16:56:27.478507+00:00,XRP/USD,bitfinex,3.0031,kraken,3.00498,0.06260197795612288
2025-09-10T17:15:50.013261+00:00,BTC/USD,bitfinex,113970.0,coinbase,114037.39,67.38999999999942,0.059129595507589214,1603.2309234,-1535.8409234000005,-1.3475835074142322
2025-09-10T17:15:50.013261+00:00,XRP/USD,bitstamp,3.01219,kraken,3.01361,0.0014199999999999768,0.04714178056497023,0.7775057,-0.7760857,-25.76483223169853
2025-09-10T17:16:19.720039+00:00,BTC/USD,bitfinex,113970.0,bitstamp,114030.0,60.0,0.052645433008686494,690.9018,-630.9018,-0.5535683074493288
2025-09-10T17:16:19.720039+00:00,XRP/USD,bitstamp,3.01108,kraken,3.0118,0.0007199999999998319,0.023911686172397674,0.77704152,-0.7763215200000002,-25.78216188211539
2025-09-10T17:18:21.117929+00:00,XRP/USD,bitfinex,3.0115,bitstamp,3.01352,0.002020000000000355,0.0670762078698441,0.3194290800000001,-0.31740907999999973,-10.539899717748622
2025-09-10T17:18:21.117929+00:00,BTC/USD,bitfinex,114020.0,bitstamp,114095.0,75.0,0.06577793369584284,691.2656999999999,-616.2656999999999,-0.5404891247149622
2025-09-10T17:20:17.656963+00:00,XRP/USD,bitstamp,3.00816,kraken,3.01,0.0018399999999996197,0.061166959204285,0.7765726399999999,-0.7747326400000003,-25.7543694484336
2025-09-10T17:20:17.656963+00:00,BTC/USD,bitstamp,113925.0,kraken,113981.2,56.19999999999709,0.049330700021941704,968.6154,-912.4154000000029,-0.800891288128157
2025-09-10T17:22:19.259564+00:00,XRP/USD,coinbase,3.0046,kraken,3.00562,0.0010200000000000209,0.033947946482061536,0.79948268,-0.79846268,-26.574674831924384
2025-09-10T17:22:19.259564+00:00,BTC/USD,bitfinex,113830.0,bitstamp,113860.0,30.0,0.02635509092506369,689.9316,-659.9316,-0.579751910744092
2025-09-10T17:22:51.155001+00:00,XRP/USD,bitfinex,3.0047,kraken,3.00563,0.0009299999999998754,0.030951509302089238,0.31859492,-0.31766492000000013,-10.572267447665327
2025-09-10T17:22:51.155001+00:00,BTC/USD,coinbase,113825.51,kraken,113855.2,29.69000000000233,0.026083783854781172,1878.25452,-1848.5645199999976,-1.6240335931725653
2025-09-10T17:24:19.361549+00:00,BTC/USD,bitstamp,113755.0,kraken,113819.1,64.10000000000582,0.05634917146499567,967.2059499999999,-903.1059499999941,-0.7939043998065967
2025-09-10T17:24:19.361549+00:00,XRP/USD,bitfinex,3.0037,kraken,3.00512,0.0014199999999999768,0.047275027466124345,0.31853988,-0.31711988,-10.557641575390353
2025-09-10T17:26:18.150034+00:00,XRP/USD,coinbase,3.0026,kraken,3.00424,0.0016399999999996417,0.05461932991406253,0.79910816,-0.7974681600000003,-26.55925397988411
2025-09-10T17:26:18.150034+00:00,BTC/USD,bitfinex,113700.0,kraken,113729.8,29.80000000000291,0.026209322779246185,689.1429880000001,-659.3429879999971,-0.5798970870712375
2025-09-10T17:28:18.081611+00:00,XRP/USD,bitstamp,2.99948,bitfinex,3.0007,0.0012199999999999989,0.04067371677757474,0.7681743200000001,-0.7669543200000001,-25.569576059850373
2025-09-10T17:28:18.081611+00:00,BTC/USD,coinbase,113592.69,bitfinex,113630.0,37.30999999999767,0.03284542341588853,1647.18728,-1609.8772800000024,-1.4172366901426512
2025-09-10T17:30:22.155042+00:00,XRP/USD,bitfinex,2.9936,kraken,2.9951,0.0015000000000000568,0.05010689470871382,0.3174776,-0.31597759999999997,-10.555104222340994
2025-09-10T17:30:22.155042+00:00,BTC/USD,kraken,113445.2,coinbase,113467.96,22.760000000009313,0.02006255002416084,1872.1303,-1849.3702999999907,-1.6301882318511411
2025-09-10T17:32:19.935749+00:00,BTC/USD,bitfinex,113460.0,bitstamp,113537.0,77.0,0.06786532698748457,687.88022,-610.88022,-0.5384102062400846
2025-09-10T17:32:19.935749+00:00,XRP/USD,bitfinex,2.9943,bitstamp,2.99571,0.0014099999999999113,0.04708946999298372,0.31754244,-0.31613244000000007,-10.557807834886287
2025-09-10T17:34:06.264162+00:00,XRP/USD,bitfinex,2.9953,kraken,2.99717,0.0018700000000002603,0.06243114212266753,0.31769628,-0.31582627999999974,-10.54406169665809
2025-09-10T17:34:06.264162+00:00,BTC/USD,bitfinex,113520.0,kraken,113577.3,57.30000000000291,0.05047568710359664,688.1638379999999,-630.863837999997,-0.5557292441860439
2025-09-10T17:34:17.579482+00:00,XRP/USD,bitfinex,2.9953,kraken,2.99717,0.0018700000000002603,0.06243114212266753,0.31769628,-0.31582627999999974,-10.54406169665809
2025-09-10T17:34:17.579482+00:00,BTC/USD,bitfinex,113520.0,bitstamp,113573.0,53.0,0.04668780831571529,688.14638,-635.14638,-0.5595017441860466
2025-09-10T17:36:17.812147+00:00,XRP/USD,bitfinex,2.9982,coinbase,3.0003,0.0020999999999999908,0.07004202521512877,0.34203,-0.33993,-11.337802681608965
2025-09-10T17:36:17.812147+00:00,BTC/USD,coinbase,113543.1,kraken,113598.4,55.29999999998836,0.04870397232415564,1873.71,-1818.4100000000117,-1.6015151955513032
2025-09-10T17:38:16.849060+00:00,XRP/USD,bitfinex,2.9995,kraken,3.00122,0.0017200000000001658,0.05734289048175249,0.31812587999999997,-0.3164058799999998,-10.548620770128348
2025-09-10T17:38:16.849060+00:00,BTC/USD,bitfinex,113550.0,kraken,113607.6,57.60000000000582,0.05072655217966167,688.346856,-630.7468559999942,-0.5554793976221878
2025-09-10T17:40:20.015511+00:00,BTC/USD,coinbase,113518.91,kraken,113607.7,88.7899999999936,0.07821604347680364,1873.4615700000002,-1784.6715700000066,-1.572135928718842
2025-09-10T17:40:20.015511+00:00,XRP/USD,bitfinex,2.9995,kraken,3.00056,0.001060000000000283,0.035339223203876745,0.31805724,-0.31699723999999974,-10.568336056009327
2025-09-10T17:42:20.374135+00:00,XRP/USD,bitfinex,3.0023,coinbase,3.0031,0.0007999999999999119,0.026646237884285776,0.34235180000000004,-0.3415518000000001,-11.376338140758756
2025-09-10T17:42:20.374135+00:00,BTC/USD,bitfinex,113560.0,coinbase,113586.27,26.270000000004075,0.023133145473761954,1596.9704162,-1570.700416199996,-1.3831458402606516
2025-09-10T17:42:29.316066+00:00,XRP/USD,bitfinex,3.0023,kraken,3.003,0.000700000000000145,0.02331545814875745,0.3183166,-0.31761659999999986,-10.579109349498713
2025-09-10T17:42:29.316066+00:00,BTC/USD,bitfinex,113560.0,coinbase,113578.11,18.110000000000582,0.015947516731243908,1596.8720065999998,-1578.7620065999993,-1.390244810320535
2025-09-10T17:44:19.054835+00:00,BTC/USD,kraken,113597.7,bitstamp,113676.0,78.30000000000291,0.06892745187622894,965.9328,-887.6327999999971,-0.7813827216572141
2025-09-10T17:44:19.054835+00:00,XRP/USD,bitfinex,3.0023,coinbase,3.0036,0.0013000000000000789,0.043300136561971785,0.34240780000000004,-0.34110779999999996,-11.36154947873297
2025-09-10T17:46:19.207719+00:00,BTC/USD,bitfinex,113600.0,bitstamp,113637.0,37.0,0.032570422535211266,688.56622,-651.56622,-0.5735618133802818
2025-09-10T17:46:19.207719+00:00,XRP/USD,bitfinex,3.0023,kraken,3.00296,0.0006599999999998829,0.021983146254534288,0.31831244000000003,-0.31765244000000015,-10.58030310095594
2025-09-10T17:47:32.083955+00:00,BTC/USD,coinbase,113658.49,bitfinex,113700.0,41.50999999999476,0.03652168878892792,1648.1518800000001,-1606.6418800000054,-1.4135696154330444
2025-09-10T17:47:32.083955+00:00,XRP/USD,coinbase,3.0013,bitfinex,3.0023,0.0009999999999998899,0.033318895145433305,0.7925951999999999,-0.7915952,-26.37507746643121
2025-09-10T17:48:19.596289+00:00,XRP/USD,bitstamp,3.00112,kraken,3.00188,0.0007600000000000939,0.02532387908514468,0.774482,-0.7737219999999999,-25.781108386202483
2025-09-10T17:48:19.596289+00:00,BTC/USD,bitstamp,113677.0,bitfinex,113700.0,23.0,0.020232764763320636,738.9580000000001,-715.9580000000001,-0.6298178171485878
2025-09-10T17:50:19.598511+00:00,XRP/USD,bitfinex,3.0022,kraken,3.00414,0.0019399999999998307,0.06461927919525116,0.31843496000000004,-0.3164949600000002,-10.542101125841057
2025-09-10T17:50:19.598511+00:00,BTC/USD,bitfinex,113700.0,bitstamp,113710.0,10.0,0.008795074758135445,689.0626,-679.0626,-0.5972406332453826
2025-09-10T17:51:38.954826+00:00,BTC/USD,bitfinex,113740.0,coinbase,113800.02,60.020000000004075,0.05276947423949717,1599.9082412,-1539.888241199996,-1.3538669256198312
2025-09-10T17:51:38.954826+00:00,XRP/USD,bitfinex,3.005,bitstamp,3.00556,0.000560000000000116,0.018635607321135308,0.31858824,-0.3180282399999999,-10.583302495840263
2025-09-10T17:52:18.707177+00:00,BTC/USD,bitfinex,113750.0,kraken,113782.8,32.80000000000291,0.028835164835167394,689.458168,-656.6581679999971,-0.5772819059340634
2025-09-10T17:52:18.707177+00:00,XRP/USD,bitstamp,3.00355,bitfinex,3.0043,0.0007500000000000284,0.024970451632236133,0.7690978,-0.7683478,-25.581322102179087
2025-09-10T17:54:19.312647+00:00,BTC/USD,bitstamp,113738.0,kraken,113782.8,44.80000000000291,0.03938877068350324,966.9746,-922.1745999999971,-0.8107884787845725
2025-09-10T17:54:19.312647+00:00,XRP/USD,coinbase,3.0024,bitfinex,3.003,0.0005999999999999339,0.019984012789765984,0.7927848000000001,-0.7921848000000001,-26.38505195843326
2025-09-10T17:54:37.905298+00:00,BTC/USD,bitfinex,113720.0,kraken,113782.7,62.69999999999709,0.055135420330634094,689.397762,-626.6977620000029,-0.5510884294759082
2025-09-10T17:54:37.905298+00:00,XRP/USD,coinbase,3.0021,bitfinex,3.003,0.0009000000000001229,0.02997901468972129,0.7927812000000001,-0.7918812,-26.37757569701209
2025-09-10T17:56:18.827954+00:00,BTC/USD,coinbase,113728.52,kraken,113782.8,54.279999999998836,0.04772769398564128,1876.76484,-1822.4848400000012,-1.6024870806372942
2025-09-10T17:56:18.827954+00:00,XRP/USD,bitstamp,3.00057,bitfinex,3.0014,0.0008299999999996643,0.02766141099856575,0.76835508,-0.7675250800000003,-25.579309264573073
2025-09-10T17:58:16.965286+00:00,BTC/USD,coinbase,113725.94,kraken,113782.8,56.86000000000058,0.04999738845860547,1876.73388,-1819.8738799999994,-1.6002275997894584
2025-09-10T17:58:16.965286+00:00,XRP/USD,bitfinex,3.001,kraken,3.00154,0.0005399999999999849,0.017994001999333056,0.31816216,-0.31762216000000004,-10.5838773742086
2025-09-10T18:00:20.282630+00:00,BTC/USD,coinbase,113721.0,kraken,113782.8,61.80000000000291,0.054343524942625294,1876.6746,-1814.8745999999971,-1.5959010209196167
2025-09-10T18:00:20.282630+00:00,XRP/USD,bitfinex,3.0019,kraken,3.00334,0.0014400000000001079,0.04796961924115087,0.31835116,-0.3169111599999999,-10.557019221159928
2025-09-10T18:02:18.550169+00:00,BTC/USD,bitfinex,113750.0,bitstamp,113831.0,81.0,0.0712087912087912,689.6538600000001,-608.6538600000001,-0.5350803164835166
2025-09-10T18:02:18.550169+00:00,XRP/USD,bitfinex,3.0018,coinbase,3.0037,0.0019000000000000128,0.06329535611966197,0.342418,-0.340518,-11.34379372376574
2025-09-10T18:04:17.865805+00:00,XRP/USD,bitfinex,3.0049,kraken,3.00662,0.0017199999999997218,0.057239841592057035,0.31869828,-0.3169782800000003,-10.548713101933517
2025-09-10T18:04:17.865805+00:00,BTC/USD,kraken,113852.6,coinbase,113913.02,60.419999999998254,0.05306861679048019,1879.32315,-1818.9031500000017,-1.5975947409194007
2025-09-10T18:04:38.724591+00:00,XRP/USD,bitfinex,3.0049,coinbase,3.0072,0.0022999999999999687,0.07654164864055271,0.34281620000000007,-0.3405162000000001,-11.33203101600719
2025-09-10T18:04:38.724591+00:00,BTC/USD,kraken,113852.5,coinbase,113917.22,64.72000000000116,0.056845479897236484,1879.37525,-1814.655249999999,-1.5938650886014791
2025-09-10T18:05:31.307188+00:00,XRP/USD,bitstamp,3.00305,bitfinex,3.0042,0.0011499999999999844,0.03829440069262864,0.7690706,-0.7679206000000001,-25.571355788281913
2025-09-10T18:05:31.307188+00:00,BTC/USD,bitfinex,113840.0,coinbase,113855.83,15.830000000001746,0.013905481377373283,1600.7813098000001,-1584.9513097999984,-1.392262218728038
2025-09-10T18:06:23.589382+00:00,XRP/USD,bitfinex,3.0036,kraken,3.00523,0.0016300000000000203,0.05426821147955854,0.31855112,-0.31692112,-10.551375682514315
2025-09-10T18:06:23.589382+00:00,BTC/USD,bitstamp,113835.0,coinbase,113853.99,18.99000000000524,0.016682039794443923,1878.514875,-1859.5248749999948,-1.6335264857029865
2025-09-10T18:08:22.897794+00:00,XRP/USD,kraken,3.00253,bitfinex,3.004,0.0014699999999998603,0.048958711486641604,0.76901812,-0.7675481200000002,-25.563378883807992
2025-09-10T18:08:22.897794+00:00,BTC/USD,bitstamp,113810.0,kraken,113850.1,40.10000000000582,0.03523416220016327,967.56545,-927.4654499999942,-0.8149243915297375
2025-09-10T18:10:22.904786+00:00,BTC/USD,bitstamp,113723.0,kraken,113810.4,87.39999999999418,0.07685340696252664,967.0388,-879.6388000000059,-0.7734924333688048
2025-09-10T18:10:22.904786+00:00,XRP/USD,coinbase,3.0005,kraken,3.00153,0.0010299999999996423,0.034327612064643964,0.7983946199999999,-0.7973646200000003,-26.57439160139978
2025-09-10T18:12:24.127557+00:00,BTC/USD,kraken,113709.9,bitstamp,113781.0,71.10000000000582,0.0625275371801451,966.8541,-895.7540999999942,-0.7877538367371656
